"component","origin","license","copyright"
"@ampproject/remapping","@ampproject/remapping","['Apache-2.0']","['Justin Ridgewell']"
"@asamuzakjp/css-color","@asamuzakjp/css-color","['MIT']","['Beihang)', 'ERCIM', 'Keio', 'W3C(r) (MIT', 'asamuzaK (Kazz)', 'asamuzaK (Kazz) (https://github.com/asamuzaK/)']"
"@babel/code-frame","@babel/code-frame","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/compat-data","@babel/compat-data","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/core","@babel/core","['MIT']","['Joyent, Inc. and other Node contributors', 'Node.js contributors', 'Sebastian McKenzie and other contributors', 'Titus Wormer']"
"@babel/generator","@babel/generator","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-compilation-targets","@babel/helper-compilation-targets","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-globals","@babel/helper-globals","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-module-imports","@babel/helper-module-imports","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-module-transforms","@babel/helper-module-transforms","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-plugin-utils","@babel/helper-plugin-utils","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-string-parser","@babel/helper-string-parser","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-validator-identifier","@babel/helper-validator-identifier","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-validator-option","@babel/helper-validator-option","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helpers","@babel/helpers","['MIT']","['Facebook, Inc.', 'Sebastian McKenzie and other contributors']"
"@babel/parser","@babel/parser","['MIT']","['by various contributors']"
"@babel/plugin-syntax-async-generators","@babel/plugin-syntax-async-generators","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-bigint","@babel/plugin-syntax-bigint","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-class-properties","@babel/plugin-syntax-class-properties","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-class-static-block","@babel/plugin-syntax-class-static-block","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-import-attributes","@babel/plugin-syntax-import-attributes","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-import-meta","@babel/plugin-syntax-import-meta","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-json-strings","@babel/plugin-syntax-json-strings","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-jsx","@babel/plugin-syntax-jsx","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-logical-assignment-operators","@babel/plugin-syntax-logical-assignment-operators","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-nullish-coalescing-operator","@babel/plugin-syntax-nullish-coalescing-operator","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-numeric-separator","@babel/plugin-syntax-numeric-separator","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-object-rest-spread","@babel/plugin-syntax-object-rest-spread","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-optional-catch-binding","@babel/plugin-syntax-optional-catch-binding","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-optional-chaining","@babel/plugin-syntax-optional-chaining","['MIT']","['Sebastian McKenzie and other contributors']"
